noise_est=4.618306093107094e-07, dc_offset=5.76572201680392e-05, n_samples=4096
noise_est=4.956987140758429e-07, dc_offset=6.733436021022499e-05, n_samples=4095
noise_est=4.770242298945959e-07, dc_offset=7.106045086402446e-05, n_samples=3841
noise_est=5.133745162311243e-07, dc_offset=6.711135938530788e-05, n_samples=4350
noise_est=4.7272686742871883e-07, dc_offset=6.693915202049538e-05, n_samples=4096
noise_est=4.883798965238384e-07, dc_offset=6.919615407241508e-05, n_samples=4095
noise_est=4.951392043039959e-07, dc_offset=6.065242996555753e-05, n_samples=4096
noise_est=4.205881850793958e-06, dc_offset=9.616812894819304e-05, n_samples=4095
noise_est=9.639168638386764e-06, dc_offset=3.364116128068417e-05, n_samples=4096
noise_est=9.071674867300317e-06, dc_offset=0.00010010231198975816, n_samples=4095
noise_est=8.797233022050932e-06, dc_offset=6.887439667480066e-05, n_samples=4096
noise_est=8.441209502052516e-06, dc_offset=5.739615153288469e-05, n_samples=4095
noise_est=8.209204679587856e-06, dc_offset=0.00010510440915822983, n_samples=4096
noise_est=7.9510909927194e-06, dc_offset=3.919390292139724e-05, n_samples=4095
noise_est=7.889027983765118e-06, dc_offset=8.690565300639719e-05, n_samples=4096
noise_est=7.605658993270481e-06, dc_offset=0.00010186802683165297, n_samples=4095
noise_est=7.287786502274685e-06, dc_offset=4.151926259510219e-05, n_samples=4096
noise_est=7.118144822015893e-06, dc_offset=3.273384572821669e-05, n_samples=4095
noise_est=6.858643700979883e-06, dc_offset=0.00010066612594528124, n_samples=4096
noise_est=6.639751063630683e-06, dc_offset=5.399867950472981e-05, n_samples=4095
noise_est=4.219131369609386e-06, dc_offset=7.958355126902461e-05, n_samples=4096
noise_est=5.101004489915795e-07, dc_offset=6.4188199758064e-05, n_samples=4095
noise_est=4.6950179921623203e-07, dc_offset=6.396764365490526e-05, n_samples=4096
noise_est=4.850593882110843e-07, dc_offset=7.559848017990589e-05, n_samples=4095
noise_est=4.906264621240553e-07, dc_offset=6.234985630726442e-05, n_samples=4096
noise_est=4.872230192631832e-07, dc_offset=5.950765262241475e-05, n_samples=4095
noise_est=5.365091055864468e-07, dc_offset=7.562494283774868e-05, n_samples=4096
noise_est=4.847606760449708e-07, dc_offset=5.6253356888191774e-05, n_samples=4095
noise_est=5.248091952125833e-07, dc_offset=8.167878695530817e-05, n_samples=4096
noise_est=5.101239821669878e-07, dc_offset=5.514226359082386e-05, n_samples=4095
noise_est=5.005364300814108e-07, dc_offset=7.355974230449647e-05, n_samples=4096
noise_est=5.572598524850036e-07, dc_offset=6.433848466258496e-05, n_samples=3584
noise_est=4.909366566607787e-07, dc_offset=6.96397983119823e-05, n_samples=4352
noise_est=5.202183501751279e-07, dc_offset=7.100514631019905e-05, n_samples=2048
noise_est=5.269523626338923e-07, dc_offset=6.805716111557558e-05, n_samples=2047
noise_est=5.14458065481449e-07, dc_offset=7.145067502278835e-05, n_samples=4096
noise_est=4.827126645068347e-07, dc_offset=6.212774314917624e-05, n_samples=4095
noise_est=5.028007876717311e-07, dc_offset=6.530098471557721e-05, n_samples=4096
noise_est=4.814814928977285e-07, dc_offset=7.24627825547941e-05, n_samples=4095
noise_est=5.122881248098565e-07, dc_offset=5.760607746196911e-05, n_samples=4096
noise_est=4.878779691352975e-07, dc_offset=7.369989907601848e-05, n_samples=4095
noise_est=5.049641913501546e-07, dc_offset=7.191046461230144e-05, n_samples=4096
noise_est=4.7435185024369275e-07, dc_offset=6.333213241305202e-05, n_samples=4095
noise_est=4.816877776647743e-07, dc_offset=6.845977623015642e-05, n_samples=4096
noise_est=4.84111239984486e-07, dc_offset=6.905910413479432e-05, n_samples=4095
noise_est=4.931374064653937e-07, dc_offset=6.837771070422605e-05, n_samples=4096
noise_est=4.758527154535841e-07, dc_offset=6.052828757674433e-05, n_samples=4095
